A,B,distance
AF,IR,1224793.2623744938
AF,PK,580175.3406053276
AF,CN,3432752.746974876
AF,TJ,787781.1783495857
AF,TM,858670.8899527104
AF,UZ,890555.9263461885
AL,GR,378600.30382594443
AL,ME,207100.19635388532
DZ,LY,1582647.8759686192
DZ,ML,1327633.2753119315
DZ,MR,1442521.718867066
DZ,MA,808187.8865992742
DZ,NE,1533603.9070209176
DZ,TN,1087105.8516296665
AD,FR,495688.78469728894
AO,CD,1262648.4611052882
AO,NA,1186131.4500719253
AO,CG,1309430.9219198436
AO,ZM,1168737.3592667142
AR,BO,1888694.7146532524
AR,BR,2487402.064193301
AR,CL,659120.3281343537
AR,PY,1306607.7489238183
AR,UY,750715.4866552982
AU,TL,2425305.9071431346
AU,ID,3529944.4117330485
AU,NZ,3660250.5311663784
AU,PG,2636096.719915797
AT,CZ,266253.4481617848
AT,DE,441632.01437087654
AT,HU,392080.0109694015
AT,IT,623405.8244854198
AT,LI,347156.0545726408
AT,SK,456224.00195693417
AT,CH,454606.68282841466
BH,IR,702028.1901977877
BH,SA,700333.5862056665
BD,IN,714351.7918050002
BD,MM,667247.9640418752
BY,LV,431984.3001580666
BY,PL,632185.274069682
BJ,BF,601936.2286497978
BJ,NE,1242713.0584912794
BJ,NG,639945.2720880611
BJ,TG,127809.51934939559
BT,IN,915786.7142432026
BT,CN,1540208.0045272114
BO,AR,1888694.7146532524
BO,BR,1330042.9765103294
BO,CL,1874350.54150292
BO,PY,1022987.6146962609
BO,PE,1465263.749746544
BW,NA,694236.790710842
BW,ZA,757570.2504827619
BW,ZM,1019694.4867567556
BW,ZW,746749.3305113879
BR,AR,2487402.064193301
BR,BO,1330042.9765103294
BR,CO,3064654.060880758
BR,FR,8717353.34403054
BR,GY,2304872.0913954796
BR,PY,1181226.5339737467
BR,PE,2557474.3933113352
BR,UY,2136810.9488067175
BR,VE,2896512.1177439336
BN,MY,745916.8571125575
BG,GR,518052.5664663648
BG,RO,363966.96710128075
BG,TR,976499.6650785008
BF,BJ,601936.2286497978
BF,GH,505023.8708187517
BF,CI,641309.2224405082
BF,ML,566541.2156925852
BF,NE,1401875.2895499957
BF,TG,571497.8030979648
BI,CD,690254.4656785623
BI,RW,192286.0464963939
BI,TZ,631188.9930959636
KH,LA,632551.0990088679
KH,TH,460491.84877695114
KH,VN,497933.48630182224
CM,CF,984222.8150627314
CM,TD,1240881.7116784633
CM,NG,493941.05527895293
CM,CG,941014.1110985108
CA,US,1955903.9456656158
CF,CM,984222.8150627314
